2026-05-19 23:42:46 status half-installed libmpfr6:amd64 4.2.2-1
2026-05-19 23:42:46 status unpacked libmpfr6:amd64 4.2.2-1
2026-05-19 23:42:46 install libmpc3:amd64 <none> 1.3.1-1+b3
2026-05-19 23:42:46 status half-installed libmpc3:amd64 1.3.1-1+b3
2026-05-19 23:42:46 status unpacked libmpc3:amd64 1.3.1-1+b3
2026-05-19 23:42:46 install cpp-14-x86-64-linux-gnu:amd64 <none> 14.2.0-19
2026-05-19 23:42:46 status half-installed cpp-14-x86-64-linux-gnu:amd64 14.2.0-19
2026-05-19 23:42:47 status unpacked cpp-14-x86-64-linux-gnu:amd64 14.2.0-19
2026-05-19 23:42:47 install cpp-14:amd64 <none> 14.2.0-19
2026-05-19 23:42:47 status half-installed cpp-14:amd64 14.2.0-19
2026-05-19 23:42:47 status unpacked cpp-14:amd64 14.2.0-19
2026-05-19 23:42:47 install cpp-x86-64-linux-gnu:amd64 <none> 4:14.2.0-1
2026-05-19 23:42:47 status half-installed cpp-x86-64-linux-gnu:amd64 4:14.2.0-1
2026-05-19 23:42:47 status unpacked cpp-x86-64-linux-gnu:amd64 4:14.2.0-1
2026-05-19 23:42:47 install cpp:amd64 <none> 4:14.2.0-1
2026-05-19 23:42:47 status half-installed cpp:amd64 4:14.2.0-1
2026-05-19 23:42:47 status unpacked cpp:amd64 4:14.2.0-1
2026-05-19 23:42:47 install libgpg-error0:amd64 <none> 1.51-4
2026-05-19 23:42:47 status half-installed libgpg-error0:amd64 1.51-4
2026-05-19 23:42:47 status unpacked libgpg-error0:amd64 1.51-4
2026-05-19 23:42:47 install libassuan9:amd64 <none> 3.0.2-2
2026-05-19 23:42:47 status half-installed libassuan9:amd64 3.0.2-2
2026-05-19 23:42:47 status unpacked libassuan9:amd64 3.0.2-2
2026-05-19 23:42:47 install libgcrypt20:amd64 <none> 1.11.0-7
2026-05-19 23:42:47 status half-installed libgcrypt20:amd64 1.11.0-7
2026-05-19 23:42:47 status unpacked libgcrypt20:amd64 1.11.0-7
2026-05-19 23:42:47 install libreadline8t64:amd64 <none> 8.2-6
2026-05-19 23:42:47 status half-installed libreadline8t64:amd64 8.2-6
2026-05-19 23:42:47 status unpacked libreadline8t64:amd64 8.2-6
2026-05-19 23:42:47 install gpgconf:amd64 <none> 2.4.7-21+deb13u1+b3
2026-05-19 23:42:47 status half-installed gpgconf:amd64 2.4.7-21+deb13u1+b3
2026-05-19 23:42:47 status unpacked gpgconf:amd64 2.4.7-21+deb13u1+b3
2026-05-19 23:42:47 install libksba8:amd64 <none> 1.6.7-2+b1
2026-05-19 23:42:47 status half-installed libksba8:amd64 1.6.7-2+b1
2026-05-19 23:42:47 status unpacked libksba8:amd64 1.6.7-2+b1
2026-05-19 23:42:47 install libsasl2-modules-db:amd64 <none> 2.1.28+dfsg1-9
2026-05-19 23:42:47 status half-installed libsasl2-modules-db:amd64 2.1.28+dfsg1-9
2026-05-19 23:42:47 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg1-9
2026-05-19 23:42:47 install libsasl2-2:amd64 <none> 2.1.28+dfsg1-9
2026-05-19 23:42:47 status half-installed libsasl2-2:amd64 2.1.28+dfsg1-9
2026-05-19 23:42:47 status unpacked libsasl2-2:amd64 2.1.28+dfsg1-9
2026-05-19 23:42:47 install libldap2:amd64 <none> 2.6.10+dfsg-1
2026-05-19 23:42:47 status half-installed libldap2:amd64 2.6.10+dfsg-1
2026-05-19 23:42:47 status unpacked libldap2:amd64 2.6.10+dfsg-1
2026-05-19 23:42:47 install libnpth0t64:amd64 <none> 1.8-3
2026-05-19 23:42:47 status half-installed libnpth0t64:amd64 1.8-3
2026-05-19 23:42:47 status unpacked libnpth0t64:amd64 1.8-3
2026-05-19 23:42:47 install dirmngr:amd64 <none> 2.4.7-21+deb13u1+b3
2026-05-19 23:42:47 status half-installed dirmngr:amd64 2.4.7-21+deb13u1+b3
2026-05-19 23:42:47 status unpacked dirmngr:amd64 2.4.7-21+deb13u1+b3
2026-05-19 23:42:47 install libdpkg-perl:all <none> 1.22.22
2026-05-19 23:42:47 status half-installed libdpkg-perl:all 1.22.22
2026-05-19 23:42:47 status unpacked libdpkg-perl:all 1.22.22
2026-05-19 23:42:47 install patch:amd64 <none> 2.8-2
2026-05-19 23:42:47 status half-installed patch:amd64 2.8-2
2026-05-19 23:42:47 status unpacked patch:amd64 2.8-2
2026-05-19 23:42:47 install make:amd64 <none> 4.4.1-2
2026-05-19 23:42:47 status half-installed make:amd64 4.4.1-2
2026-05-19 23:42:47 status unpacked make:amd64 4.4.1-2
2026-05-19 23:42:48 install dpkg-dev:all <none> 1.22.22
2026-05-19 23:42:48 status half-installed dpkg-dev:all 1.22.22
2026-05-19 23:42:48 status unpacked dpkg-dev:all 1.22.22
2026-05-19 23:42:48 install fonts-dejavu-mono:all <none> 2.37-8
2026-05-19 23:42:48 status half-installed fonts-dejavu-mono:all 2.37-8
2026-05-19 23:42:48 status unpacked fonts-dejavu-mono:all 2.37-8
2026-05-19 23:42:48 install fonts-dejavu-core:all <none> 2.37-8
2026-05-19 23:42:48 status half-installed fonts-dejavu-core:all 2.37-8
2026-05-19 23:42:48 status unpacked fonts-dejavu-core:all 2.37-8
2026-05-19 23:42:48 install fontconfig-config:amd64 <none> 2.15.0-2.3
2026-05-19 23:42:48 status half-installed fontconfig-config:amd64 2.15.0-2.3
2026-05-19 23:42:48 status unpacked fontconfig-config:amd64 2.15.0-2.3
2026-05-19 23:42:48 install libcc1-0:amd64 <none> 14.2.0-19
2026-05-19 23:42:48 status half-installed libcc1-0:amd64 14.2.0-19
2026-05-19 23:42:48 status unpacked libcc1-0:amd64 14.2.0-19
2026-05-19 23:42:48 install libgomp1:amd64 <none> 14.2.0-19
2026-05-19 23:42:48 status half-installed libgomp1:amd64 14.2.0-19
2026-05-19 23:42:48 status unpacked libgomp1:amd64 14.2.0-19
2026-05-19 23:42:48 install libitm1:amd64 <none> 14.2.0-19
2026-05-19 23:42:48 status half-installed libitm1:amd64 14.2.0-19
2026-05-19 23:42:48 status unpacked libitm1:amd64 14.2.0-19
2026-05-19 23:42:48 install libatomic1:amd64 <none> 14.2.0-19
2026-05-19 23:42:48 status half-installed libatomic1:amd64 14.2.0-19
2026-05-19 23:42:48 status unpacked libatomic1:amd64 14.2.0-19
2026-05-19 23:42:48 install libasan8:amd64 <none> 14.2.0-19
2026-05-19 23:42:48 status half-installed libasan8:amd64 14.2.0-19
2026-05-19 23:42:48 status unpacked libasan8:amd64 14.2.0-19
2026-05-19 23:42:48 install liblsan0:amd64 <none> 14.2.0-19
2026-05-19 23:42:48 status half-installed liblsan0:amd64 14.2.0-19
2026-05-19 23:42:48 status unpacked liblsan0:amd64 14.2.0-19
2026-05-19 23:42:48 install libtsan2:amd64 <none> 14.2.0-19
2026-05-19 23:42:48 status half-installed libtsan2:amd64 14.2.0-19
2026-05-19 23:42:48 status unpacked libtsan2:amd64 14.2.0-19
2026-05-19 23:42:48 install libubsan1:amd64 <none> 14.2.0-19
2026-05-19 23:42:48 status half-installed libubsan1:amd64 14.2.0-19
2026-05-19 23:42:49 status unpacked libubsan1:amd64 14.2.0-19
2026-05-19 23:42:49 install libhwasan0:amd64 <none> 14.2.0-19
2026-05-19 23:42:49 status half-installed libhwasan0:amd64 14.2.0-19
2026-05-19 23:42:49 status unpacked libhwasan0:amd64 14.2.0-19
2026-05-19 23:42:49 install libquadmath0:amd64 <none> 14.2.0-19
2026-05-19 23:42:49 status half-installed libquadmath0:amd64 14.2.0-19
2026-05-19 23:42:49 status unpacked libquadmath0:amd64 14.2.0-19
2026-05-19 23:42:49 install libgcc-14-dev:amd64 <none> 14.2.0-19
2026-05-19 23:42:49 status half-installed libgcc-14-dev:amd64 14.2.0-19
2026-05-19 23:42:49 status unpacked libgcc-14-dev:amd64 14.2.0-19
2026-05-19 23:42:49 install gcc-14-x86-64-linux-gnu:amd64 <none> 14.2.0-19
2026-05-19 23:42:49 status half-installed gcc-14-x86-64-linux-gnu:amd64 14.2.0-19
2026-05-19 23:42:49 status unpacked gcc-14-x86-64-linux-gnu:amd64 14.2.0-19
2026-05-19 23:42:49 install gcc-14:amd64 <none> 14.2.0-19
2026-05-19 23:42:49 status half-installed gcc-14:amd64 14.2.0-19
2026-05-19 23:42:49 status unpacked gcc-14:amd64 14.2.0-19
2026-05-19 23:42:49 install gcc-x86-64-linux-gnu:amd64 <none> 4:14.2.0-1
2026-05-19 23:42:49 status half-installed gcc-x86-64-linux-gnu:amd64 4:14.2.0-1
2026-05-19 23:42:49 status unpacked gcc-x86-64-linux-gnu:amd64 4:14.2.0-1
2026-05-19 23:42:49 install gcc:amd64 <none> 4:14.2.0-1
2026-05-19 23:42:49 status half-installed gcc:amd64 4:14.2.0-1
2026-05-19 23:42:49 status unpacked gcc:amd64 4:14.2.0-1
2026-05-19 23:42:49 install gnupg-l10n:all <none> 2.4.7-21+deb13u1
2026-05-19 23:42:49 status half-installed gnupg-l10n:all 2.4.7-21+deb13u1
2026-05-19 23:42:50 status unpacked gnupg-l10n:all 2.4.7-21+deb13u1
2026-05-19 23:42:50 install gpg:amd64 <none> 2.4.7-21+deb13u1+b3
2026-05-19 23:42:50 status half-installed gpg:amd64 2.4.7-21+deb13u1+b3
2026-05-19 23:42:50 status unpacked gpg:amd64 2.4.7-21+deb13u1+b3
2026-05-19 23:42:50 install libncursesw6:amd64 <none> 6.5+20250216-2
2026-05-19 23:42:50 status half-installed libncursesw6:amd64 6.5+20250216-2
2026-05-19 23:42:50 status unpacked libncursesw6:amd64 6.5+20250216-2
2026-05-19 23:42:50 install pinentry-curses:amd64 <none> 1.3.1-2
2026-05-19 23:42:50 status half-installed pinentry-curses:amd64 1.3.1-2
2026-05-19 23:42:50 status unpacked pinentry-curses:amd64 1.3.1-2
2026-05-19 23:42:50 install gpg-agent:amd64 <none> 2.4.7-21+deb13u1+b3
2026-05-19 23:42:50 status half-installed gpg-agent:amd64 2.4.7-21+deb13u1+b3
2026-05-19 23:42:50 status unpacked gpg-agent:amd64 2.4.7-21+deb13u1+b3
2026-05-19 23:42:50 install gpgsm:amd64 <none> 2.4.7-21+deb13u1+b3
