2026-05-08 19:45:48 install libk5crypto3:amd64 <none> 1.21.3-5
2026-05-08 19:45:48 status half-installed libk5crypto3:amd64 1.21.3-5
2026-05-08 19:45:48 status unpacked libk5crypto3:amd64 1.21.3-5
2026-05-08 19:45:48 install libkeyutils1:amd64 <none> 1.6.3-6
2026-05-08 19:45:48 status half-installed libkeyutils1:amd64 1.6.3-6
2026-05-08 19:45:48 status unpacked libkeyutils1:amd64 1.6.3-6
2026-05-08 19:45:48 install libkrb5-3:amd64 <none> 1.21.3-5
2026-05-08 19:45:48 status half-installed libkrb5-3:amd64 1.21.3-5
2026-05-08 19:45:48 status unpacked libkrb5-3:amd64 1.21.3-5
2026-05-08 19:45:48 install libgssapi-krb5-2:amd64 <none> 1.21.3-5
2026-05-08 19:45:48 status half-installed libgssapi-krb5-2:amd64 1.21.3-5
2026-05-08 19:45:48 status unpacked libgssapi-krb5-2:amd64 1.21.3-5
2026-05-08 19:45:48 install libsasl2-modules-db:amd64 <none> 2.1.28+dfsg1-9
2026-05-08 19:45:48 status half-installed libsasl2-modules-db:amd64 2.1.28+dfsg1-9
2026-05-08 19:45:48 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg1-9
2026-05-08 19:45:48 install libsasl2-2:amd64 <none> 2.1.28+dfsg1-9
2026-05-08 19:45:48 status half-installed libsasl2-2:amd64 2.1.28+dfsg1-9
2026-05-08 19:45:48 status unpacked libsasl2-2:amd64 2.1.28+dfsg1-9
2026-05-08 19:45:48 install libldap2:amd64 <none> 2.6.10+dfsg-1
2026-05-08 19:45:48 status half-installed libldap2:amd64 2.6.10+dfsg-1
2026-05-08 19:45:48 status unpacked libldap2:amd64 2.6.10+dfsg-1
2026-05-08 19:45:48 install libnghttp2-14:amd64 <none> 1.64.0-1.1
2026-05-08 19:45:48 status half-installed libnghttp2-14:amd64 1.64.0-1.1
2026-05-08 19:45:48 status unpacked libnghttp2-14:amd64 1.64.0-1.1
2026-05-08 19:45:48 install libnghttp3-9:amd64 <none> 1.8.0-1
2026-05-08 19:45:48 status half-installed libnghttp3-9:amd64 1.8.0-1
2026-05-08 19:45:48 status unpacked libnghttp3-9:amd64 1.8.0-1
2026-05-08 19:45:48 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2+b5
2026-05-08 19:45:48 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b5
2026-05-08 19:45:48 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b5
2026-05-08 19:45:48 install libssh2-1t64:amd64 <none> 1.11.1-1
2026-05-08 19:45:48 status half-installed libssh2-1t64:amd64 1.11.1-1
2026-05-08 19:45:48 status unpacked libssh2-1t64:amd64 1.11.1-1
2026-05-08 19:45:48 install libcurl4t64:amd64 <none> 8.14.1-2+deb13u2
2026-05-08 19:45:48 status half-installed libcurl4t64:amd64 8.14.1-2+deb13u2
2026-05-08 19:45:48 status unpacked libcurl4t64:amd64 8.14.1-2+deb13u2
2026-05-08 19:45:48 install curl:amd64 <none> 8.14.1-2+deb13u2
2026-05-08 19:45:48 status half-installed curl:amd64 8.14.1-2+deb13u2
2026-05-08 19:45:48 status unpacked curl:amd64 8.14.1-2+deb13u2
2026-05-08 19:45:48 install libgpg-error0:amd64 <none> 1.51-4
2026-05-08 19:45:48 status half-installed libgpg-error0:amd64 1.51-4
2026-05-08 19:45:48 status unpacked libgpg-error0:amd64 1.51-4
2026-05-08 19:45:48 install libassuan9:amd64 <none> 3.0.2-2
2026-05-08 19:45:48 status half-installed libassuan9:amd64 3.0.2-2
2026-05-08 19:45:48 status unpacked libassuan9:amd64 3.0.2-2
2026-05-08 19:45:48 install libgcrypt20:amd64 <none> 1.11.0-7
2026-05-08 19:45:48 status half-installed libgcrypt20:amd64 1.11.0-7
2026-05-08 19:45:48 status unpacked libgcrypt20:amd64 1.11.0-7
2026-05-08 19:45:48 install libreadline8t64:amd64 <none> 8.2-6
2026-05-08 19:45:48 status half-installed libreadline8t64:amd64 8.2-6
2026-05-08 19:45:48 status unpacked libreadline8t64:amd64 8.2-6
2026-05-08 19:45:48 install gpgconf:amd64 <none> 2.4.7-21+deb13u1+b2
2026-05-08 19:45:48 status half-installed gpgconf:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:45:48 status unpacked gpgconf:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:45:48 install libksba8:amd64 <none> 1.6.7-2+b1
2026-05-08 19:45:48 status half-installed libksba8:amd64 1.6.7-2+b1
2026-05-08 19:45:49 status unpacked libksba8:amd64 1.6.7-2+b1
2026-05-08 19:45:49 install libnpth0t64:amd64 <none> 1.8-3
2026-05-08 19:45:49 status half-installed libnpth0t64:amd64 1.8-3
2026-05-08 19:45:49 status unpacked libnpth0t64:amd64 1.8-3
2026-05-08 19:45:49 install dirmngr:amd64 <none> 2.4.7-21+deb13u1+b2
2026-05-08 19:45:49 status half-installed dirmngr:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:45:49 status unpacked dirmngr:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:45:49 install gnupg-l10n:all <none> 2.4.7-21+deb13u1
2026-05-08 19:45:49 status half-installed gnupg-l10n:all 2.4.7-21+deb13u1
2026-05-08 19:45:49 status unpacked gnupg-l10n:all 2.4.7-21+deb13u1
2026-05-08 19:45:49 install gpg:amd64 <none> 2.4.7-21+deb13u1+b2
2026-05-08 19:45:49 status half-installed gpg:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:45:49 status unpacked gpg:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:45:49 install libncursesw6:amd64 <none> 6.5+20250216-2
2026-05-08 19:45:49 status half-installed libncursesw6:amd64 6.5+20250216-2
2026-05-08 19:45:49 status unpacked libncursesw6:amd64 6.5+20250216-2
2026-05-08 19:45:49 install pinentry-curses:amd64 <none> 1.3.1-2
2026-05-08 19:45:49 status half-installed pinentry-curses:amd64 1.3.1-2
2026-05-08 19:45:49 status unpacked pinentry-curses:amd64 1.3.1-2
2026-05-08 19:45:49 install gpg-agent:amd64 <none> 2.4.7-21+deb13u1+b2
2026-05-08 19:45:49 status half-installed gpg-agent:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:45:49 status unpacked gpg-agent:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:45:49 install gpgsm:amd64 <none> 2.4.7-21+deb13u1+b2
2026-05-08 19:45:49 status half-installed gpgsm:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:45:49 status unpacked gpgsm:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:45:49 install gnupg:all <none> 2.4.7-21+deb13u1
2026-05-08 19:45:49 status half-installed gnupg:all 2.4.7-21+deb13u1
2026-05-08 19:45:49 status unpacked gnupg:all 2.4.7-21+deb13u1
2026-05-08 19:45:49 install libatomic1:amd64 <none> 14.2.0-19
2026-05-08 19:45:49 status half-installed libatomic1:amd64 14.2.0-19
2026-05-08 19:45:49 status unpacked libatomic1:amd64 14.2.0-19
2026-05-08 19:45:49 startup packages configure
2026-05-08 19:45:49 configure libnpth0t64:amd64 1.8-3 <none>
2026-05-08 19:45:49 status unpacked libnpth0t64:amd64 1.8-3
2026-05-08 19:45:49 status half-configured libnpth0t64:amd64 1.8-3
2026-05-08 19:45:49 status installed libnpth0t64:amd64 1.8-3
2026-05-08 19:45:49 configure libkeyutils1:amd64 1.6.3-6 <none>
2026-05-08 19:45:49 status unpacked libkeyutils1:amd64 1.6.3-6
2026-05-08 19:45:49 status half-configured libkeyutils1:amd64 1.6.3-6
2026-05-08 19:45:49 status installed libkeyutils1:amd64 1.6.3-6
2026-05-08 19:45:49 configure libgpg-error0:amd64 1.51-4 <none>
2026-05-08 19:45:49 status unpacked libgpg-error0:amd64 1.51-4
2026-05-08 19:45:49 status half-configured libgpg-error0:amd64 1.51-4
2026-05-08 19:45:49 status installed libgpg-error0:amd64 1.51-4
2026-05-08 19:45:49 configure libbrotli1:amd64 1.1.0-2+b7 <none>
2026-05-08 19:45:49 status unpacked libbrotli1:amd64 1.1.0-2+b7
2026-05-08 19:45:49 status half-configured libbrotli1:amd64 1.1.0-2+b7
2026-05-08 19:45:49 status installed libbrotli1:amd64 1.1.0-2+b7
2026-05-08 19:45:49 configure libnghttp2-14:amd64 1.64.0-1.1 <none>
2026-05-08 19:45:49 status unpacked libnghttp2-14:amd64 1.64.0-1.1
2026-05-08 19:45:49 status half-configured libnghttp2-14:amd64 1.64.0-1.1
2026-05-08 19:45:49 status installed libnghttp2-14:amd64 1.64.0-1.1
2026-05-08 19:45:49 configure libgcrypt20:amd64 1.11.0-7 <none>
2026-05-08 19:45:49 status unpacked libgcrypt20:amd64 1.11.0-7
2026-05-08 19:45:49 status half-configured libgcrypt20:amd64 1.11.0-7
2026-05-08 19:45:49 status installed libgcrypt20:amd64 1.11.0-7
2026-05-08 19:45:49 configure libcom-err2:amd64 1.47.2-3+b10 <none>
2026-05-08 19:45:49 status unpacked libcom-err2:amd64 1.47.2-3+b10
2026-05-08 19:45:49 status half-configured libcom-err2:amd64 1.47.2-3+b10
2026-05-08 19:45:49 status installed libcom-err2:amd64 1.47.2-3+b10
2026-05-08 19:45:49 configure libkrb5support0:amd64 1.21.3-5 <none>
